,Product Name,Prices,Images
104,Aashirvaad Himalayan Pink Salt 1kg,₹120.00,
105,"Aashirvaad Gram Flour, 200g",₹37.00,
106," Aashirvaad Gram Flour, 500g",₹90.00,
107,"Aashirvaad Gram Flour, 1Kg",₹180.00,
108,"Aashirvaad Besan, 200g",₹31.00,
109," Aashirvaad Besan, 500g",₹76.00,
110," Aashirvaad Besan, 1Kg",₹150.00,
111,"Aashirvaad Besan, 200g",₹31.00,
112," Aashirvaad Besan, 500g",₹76.00,
113,"Aashirvaad Besan, 1Kg",₹150.00,
114,Aashirvaad Superior MP Atta 10kg,₹542.00,
115,"Aashirvaad Dosa with Millets, 200g",₹95.00,
116,Aashirvaad Shudh Chakki Atta 5kg+500g Extra,₹235.00,
117,"Aashirvaad Millets Batter Mix - Mixed Flour, Rich In Fibre & Protein, 800 g",₹128.00,
118,"Aashirvaad Millets Batter Mix - Mixed Flour, Rich In Fibre & Protein, 80 g",₹13.00,
119,Aashirvaad Atta Superior MP 5kg,₹277.00,
120,"Aashirvaad Organic Urad Whole Dal, 500g",₹122.00,
121,"Aashirvaad Organic Urad Whole Dal, 1kg",₹242.00,
122,"Aashirvaad Organic Masur Dal, 1kg",₹203.00,
123,"Aashirvaad Organic Masur Dal, 500g",₹106.00,
124,"Aashirvaad Organic Rajma, 500g",₹158.00,
125,"Aashirvaad Organic Rajma, 1kg",₹298.00,
126,"Aashirvaad Organic Kabuli Chana, 500g",₹158.00,
127,Aashirvaad Organic Kabuli Chana 1kg,₹306.00,
128,"ITC Master Chef Meat Masala, 100g",₹110.00,
129,"ITC Master Chef Chicken Masala, 100g",₹110.00,
130,"Aashirvaad Premium Chilli/Mirchi Powder, 100g",₹85.00,
131,"ITC Master Chef Fish Fry Masala, 100g",₹100.00,
132,"Aashirvaad Rasam Powder, 100g",₹100.00,
133,"Aashirvaad Dal masala, 100g",₹95.00,
134,"Aashirvaad Dum Aloo masala, 100g",₹95.00,
135,"Aashirvaad Saunf Whole, 100g",₹90.00,
136,"Aashirvaad Pepper Powder, 100g",₹180.00,
137,"Aashirvaad Kasuri Methi, 25g",₹35.00,
138,"Aashirvaad Black pepper/Kali Mirchi Whole, 200g",₹270.00,
139,"Aashirvaad Saunf Whole, 200g",₹180.00,
140,"Aashirvaad Black pepper/Kali Mirchi Whole, 100g",₹135.00,
141,"Aashirvaad Cardamom/Elaichi Whole, 50g",₹175.00,
142,"Aashirvaad Clove/Lavanga Whole, 50g",₹100.00,
143,"Aashirvaad Methi Whole, 200g",₹50.00,
144,"Aashirvaad Cardamom/Elaichi Whole,100g",₹350.00,
145,"Aashirvaad Methi Whole, 100g",₹25.00,
146,Aashirvaad Mustard Whole 200g,₹50.00,
147,"Aashirvaad Posta Whole, 50g",₹120.00,
148,"Aashirvaad Mustard Whole, 100g",₹25.00,
149,"Aashirvaad Coriander/Dhania Whole, 200g",₹80.00,
150,Aashirvaad Mini Soya Chunks 200g,₹60.00,
151,Aashirvaad Soya Chunks 200g,₹60.00,
152,Aashirvaad Gluten Free Flour 1Kg,₹238.00,
153,Aashirvaad Salt Active 1kg,₹50.00,
154,Aashirvaad Himalayan Pink Salt 1kg,₹120.00,
155,"Aashirvaad Gram Flour, 200g",₹37.00,
156," Aashirvaad Gram Flour, 500g",₹90.00,
157,"Aashirvaad Gram Flour, 1Kg",₹180.00,
158,"Aashirvaad Besan, 200g",₹31.00,
159," Aashirvaad Besan, 500g",₹76.00,
160," Aashirvaad Besan, 1Kg",₹150.00,
161,"Aashirvaad Besan, 200g",₹31.00,
162," Aashirvaad Besan, 500g",₹76.00,
163,"Aashirvaad Besan, 1Kg",₹150.00,
164,Aashirvaad Superior MP Atta 10kg,₹542.00,
165,"Aashirvaad Dosa with Millets, 200g",₹95.00,
166,Aashirvaad Shudh Chakki Atta 5kg+500g Extra,₹235.00,
167,"Aashirvaad Millets Batter Mix - Mixed Flour, Rich In Fibre & Protein, 800 g",₹128.00,
168,"Aashirvaad Millets Batter Mix - Mixed Flour, Rich In Fibre & Protein, 80 g",₹13.00,
169,Aashirvaad Atta Superior MP 5kg,₹277.00,
170,"Aashirvaad Organic Urad Whole Dal, 500g",₹122.00,
171,"Aashirvaad Organic Urad Whole Dal, 1kg",₹242.00,
172,"Aashirvaad Organic Masur Dal, 1kg",₹203.00,
173,"Aashirvaad Organic Masur Dal, 500g",₹106.00,
174,"Aashirvaad Organic Rajma, 500g",₹158.00,
175,"Aashirvaad Organic Rajma, 1kg",₹298.00,
176,"Aashirvaad Organic Kabuli Chana, 500g",₹158.00,
177,Aashirvaad Organic Kabuli Chana 1kg,₹306.00,
178,"ITC Master Chef Meat Masala, 100g",₹110.00,
179,"ITC Master Chef Chicken Masala, 100g",₹110.00,
180,"Aashirvaad Premium Chilli/Mirchi Powder, 100g",₹85.00,
181,"ITC Master Chef Fish Fry Masala, 100g",₹100.00,
182,"Aashirvaad Rasam Powder, 100g",₹100.00,
183,"Aashirvaad Dal masala, 100g",₹95.00,
184,"Aashirvaad Dum Aloo masala, 100g",₹95.00,
185,"Aashirvaad Saunf Whole, 100g",₹90.00,
186,"Aashirvaad Pepper Powder, 100g",₹180.00,
187,"Aashirvaad Kasuri Methi, 25g",₹35.00,
188,"Aashirvaad Black pepper/Kali Mirchi Whole, 200g",₹270.00,
189,"Aashirvaad Saunf Whole, 200g",₹180.00,
190,"Aashirvaad Black pepper/Kali Mirchi Whole, 100g",₹135.00,
191,"Aashirvaad Cardamom/Elaichi Whole, 50g",₹175.00,
192,"Aashirvaad Clove/Lavanga Whole, 50g",₹100.00,
193,"Aashirvaad Methi Whole, 200g",₹50.00,
194,"Aashirvaad Cardamom/Elaichi Whole,100g",₹350.00,
195,"Aashirvaad Methi Whole, 100g",₹25.00,
196,Aashirvaad Mustard Whole 200g,₹50.00,
197,"Aashirvaad Posta Whole, 50g",₹120.00,
198,"Aashirvaad Mustard Whole, 100g",₹25.00,
199,"Aashirvaad Coriander/Dhania Whole, 200g",₹80.00,
200,Aashirvaad Cumin/Jeera Whole 200g,₹220.00,
201,"Aashirvaad Coriander/Dhania Whole, 100g",₹40.00,
202,"Aashirvaad Cumin/Jeera Whole, 100g",₹110.00,
203,"Aashirvaad Ajwain Whole, 200g",₹110.00,
204,Aashirvaad masala karam powder 200g,₹150.00,
205,"Aashirvaad Ajwain Whole, 100g",₹55.00,
206,"Aashirvaad masala karam powder, 50g",₹27.00,
207,Aashirvaad Atta with Multigrains 1kg,₹75.00,
208,Aashirvaad Select Atta 5kg,₹340.00,
209,Aashirvad atta with millets 1kg,₹76.00,
210,Aashirvaad Mini Soya Chunks 200g,₹60.00,
211,Aashirvaad Soya Chunks 200g,₹60.00,
212,Aashirvaad Gluten Free Flour 1Kg,₹238.00,
213,Aashirvaad Salt Active 1kg,₹50.00,
214,Aashirvaad Himalayan Pink Salt 1kg,₹120.00,
215,"Aashirvaad Gram Flour, 200g",₹37.00,
216," Aashirvaad Gram Flour, 500g",₹90.00,
217,"Aashirvaad Gram Flour, 1Kg",₹180.00,
218,"Aashirvaad Besan, 200g",₹31.00,
219," Aashirvaad Besan, 500g",₹76.00,
220," Aashirvaad Besan, 1Kg",₹150.00,
221,"Aashirvaad Besan, 200g",₹31.00,
222," Aashirvaad Besan, 500g",₹76.00,
223,"Aashirvaad Besan, 1Kg",₹150.00,
224,Aashirvaad Superior MP Atta 10kg,₹542.00,
225,"Aashirvaad Dosa with Millets, 200g",₹95.00,
226,Aashirvaad Shudh Chakki Atta 5kg+500g Extra,₹235.00,
227,"Aashirvaad Millets Batter Mix - Mixed Flour, Rich In Fibre & Protein, 800 g",₹128.00,
228,"Aashirvaad Millets Batter Mix - Mixed Flour, Rich In Fibre & Protein, 80 g",₹13.00,
229,Aashirvaad Atta Superior MP 5kg,₹277.00,
